Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Fishing,FishingOnly,RequiredRod
Alto Mare Secret Garden,Azumarill,184,1,1,1,30,34,,0,Uncommon,0,0,
Alto Mare Secret Garden,Azurill,298,1,1,1,30,34,,0,Rare,0,0,
Alto Mare Secret Garden,Horsea,116,1,1,1,30,34,Dragon Scale,0,Common,0,0,
Alto Mare Secret Garden,Magikarp,129,1,1,1,30,34,,0,Common,0,0,
Alto Mare Secret Garden,Marill,183,1,1,1,30,30,,0,Uncommon,0,0,
Alto Mare Secret Garden,Slowpoke,79,1,1,1,30,34,Lagging Tail,0,Common,0,0,
Alto Mare Secret Garden,Wingull,278,1,1,1,30,34,,0,Common,0,0,
Alto Mare West Avenue,Pelipper,279,1,1,1,26,30,,0,Common,0,0,
Alto Mare West Avenue,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Amazon Forest,Marill,183,1,1,1,28,32,,0,Uncommon,1,0,Good Rod
Amazon Forest,Panpour,515,1,1,1,35,40,Rindo Berry,0,Uncommon,1,0,Good Rod
Amazon Forest,Politoed,186,1,1,1,35,40,Damp Rock,0,Uncommon,1,0,Good Rod
Amazon Forest,Poliwag,60,1,1,1,35,40,King's Rock,0,Common,1,0,Old Rod
Amazon Forest,Quagsire,195,1,1,1,35,40,,0,Common,1,0,Old Rod
Amazon Forest,Relicanth,369,1,1,1,20,24,Deep Sea Scale,0,Rare,1,0,Super Rod
Amazon Forest,Skrelp,690,1,1,1,35,40,Maranga Berry,1,Rare,1,0,Super Rod
Amazon Forest,Surskit,283,1,1,1,35,40,,0,Common,1,0,Old Rod
Amazon Forest,Wooper,194,1,1,1,35,40,,0,Common,1,0,Old Rod
Amity Square,Azurill,298,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Buizel,418,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Clamperl,366,1,1,1,17,20,Deep Sea Tooth,0,Uncommon,0,0,
Amity Square,Lanturn,171,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Marill,183,1,1,1,17,20,,0,Uncommon,0,0,
Amity Square,Poliwag,60,1,1,1,17,20,King's Rock,0,Common,0,0,
Amity Square,Psyduck,54,1,1,1,17,20,,0,Common,0,0,
Amity Square,Shellos,422,1,1,1,17,20,,0,Rare,0,0,
Angel Hill,Chingling,433,1,1,1,24,30,Colbur Berry,0,Uncommon,0,0,
Angel Hill,Gyarados,130,1,1,1,24,30,,0,Common,0,0,
Angel Hill,Haunter,93,1,1,1,15,19,Spell Tag,0,Common,0,0,
Angel Hill,Marill,183,1,1,1,24,30,,0,Uncommon,0,0,
Angel Hill,Piplup,393,1,1,1,15,19,,0,Rare,0,0,
Angel Hill,Slowpoke,79,1,1,1,24,30,Lagging Tail,0,Common,0,0,
Angel Hill,Spheal,363,1,1,1,24,30,,0,Uncommon,0,0,
Angel Hill,Togetic,176,1,1,1,15,19,,0,Rare,0,0,
Aphrodia Island,Alomomola,594,1,1,1,24,28,,0,Rare,1,0,Super Rod
Aphrodia Island,Buizel,418,1,1,1,24,28,Wacan Berry,0,Uncommon,1,0,Good Rod
Aphrodia Island,Finneon,456,1,1,1,24,28,Rindo Berry,0,Uncommon,1,0,Good Rod
Aphrodia Island,Goldeen,118,1,1,1,24,28,,0,Common,1,0,Old Rod
Aphrodia Island,Lapras,131,1,1,1,24,26,,0,Rare,1,0,Super Rod
Aphrodia Island,Luvdisc,370,1,1,1,24,28,,0,Uncommon,1,0,Good Rod
Aphrodia Island,Slowbro,80,1,1,1,24,28,King's Rock,0,Common,1,0,Old Rod
Aphrodia Island,Slowpoke,79,1,1,1,24,28,Lagging Tail,0,Common,1,0,Old Rod
Battle Tower,Buizel,418,1,1,1,40,45,,0,Uncommon,0,0,
Battle Tower,Corphish,341,1,1,1,40,45,Mystic Water,1,Rare,0,0,
Battle Tower,Finneon,456,1,1,1,40,45,,0,Uncommon,0,0,
Battle Tower,Goldeen,118,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Lumineon,457,1,1,1,40,45,Rindo Berry,0,Uncommon,0,0,
Battle Tower,Magikarp,129,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Panpour,515,1,1,1,40,45,Rindo Berry,0,Uncommon,0,0,
Battle Tower,Seaking,119,1,1,1,40,45,,0,Common,0,0,
Battle Tower,Swablu,333,1,1,1,38,41,,0,Rare,0,0,
Berry Forest,Golduck,55,1,1,1,45,50,,0,Common,1,0,Good Rod
Berry Forest,Magikarp,129,0,0,1,45,50,,0,Common,1,0,Old Rod
Berry Forest,Marill,183,1,1,1,45,50,,0,Uncommon,1,0,Super Rod
Berry Forest,Poliwag,60,0,0,1,45,50,King's Rock,0,Common,1,0,Super Rod
Berry Forest,Psyduck,54,1,1,1,45,50,,0,Common,1,0,Old Rod
Berry Forest,Slowbro,80,1,1,1,45,50,,0,Uncommon,1,0,Super Rod
Blackthorn City,Horsea,116,1,1,1,42,46,Dragon Scale,0,Common,1,0,Old Rod
Blackthorn City,Poliwag,60,1,1,1,42,46,,0,Common,1,0,Old Rod
Blackthorn City,Poliwhirl,61,1,1,1,42,46,King's Rock,0,Common,1,0,Old Rod
Blackthorn City,Quagsire,195,1,1,1,42,46,,0,Common,1,0,Old Rod
Blackthorn City,Wooper,194,1,1,1,42,46,,0,Common,1,0,Old Rod
Bond Bridge,Gyarados,130,1,1,1,29,37,,0,Uncommon,1,0,Super Rod
Bond Bridge,Horsea,116,1,1,1,29,37,Dragon Scale,0,Common,1,0,Good Rod
Bond Bridge,Krabby,98,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Magikarp,129,1,0,1,29,37,,0,Common,1,1,Old Rod
Bond Bridge,Seadra,117,1,1,1,29,37,,0,Uncommon,1,0,Super Rod
Bond Bridge,Slowpoke,79,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Tentacool,72,1,1,1,29,37,,0,Common,1,0,Old Rod
Bond Bridge,Tentacruel,73,1,1,1,29,37,,0,Common,1,0,Good Rod
Breakers Beach,Carvanha,318,1,1,1,25,29,Deep Sea Tooth,0,Uncommon,0,0,
Breakers Beach,Feebas,349,1,1,1,25,29,Prism Scale,0,Rare,0,0,
Breakers Beach,Horsea,116,1,1,1,25,29,Dragon Scale,0,Common,0,0,
Breakers Beach,Mantyke,458,1,1,1,25,26,,0,Uncommon,0,0,
Breakers Beach,Octillery,224,1,1,1,25,26,Starf Berry,0,Uncommon,0,0,
Breakers Beach,Relicanth,369,1,1,1,20,24,Deep Sea Scale,0,Rare,0,0,
Breakers Beach,Seadra,117,1,1,1,25,29,Dragon Scale,0,Common,0,0,
Breakers Beach,Slowpoke,79,1,1,1,25,29,Lagging Tail,0,Common,0,0,
Breakers Beach,Wingull,278,1,1,1,25,29,,0,Common,0,0,
Breakers Trench Underwater,Chinchou,170,1,1,1,35,38,Apicot Berry,0,Common,0,0,
Breakers Trench Underwater,Clamperl,366,1,1,1,35,39,Deep Sea Tooth,0,Uncommon,0,0,
Breakers Trench Underwater,Goldeen,118,1,1,1,35,39,,0,Common,0,0,
Breakers Trench Underwater,Krabby,98,1,1,1,35,39,,0,Common,0,0,
Breakers Trench Underwater,Relicanth,369,1,1,1,20,24,,0,Rare,0,0,
Breakers Trench Underwater,Seadra,117,1,1,1,35,39,Dragon Scale,0,Common,0,0,
Breakers Trench Underwater,Shellder,90,1,1,1,35,39,,0,Uncommon,0,0,
Breakers Trench Underwater,Tynamo,602,1,1,1,35,39,,0,Rare,0,0,
Breezy Falls,Barboach,339,1,1,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Chinchou,170,1,1,1,18,23,Apicot Berry,0,Common,0,0,
Breezy Falls,Corphish,341,1,1,1,18,23,Mystic Water,0,Rare,0,0,
Breezy Falls,Krabby,98,1,1,1,18,23,,0,Common,0,0,
Breezy Falls,Mantyke,458,1,1,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Marill,183,1,1,1,18,23,,0,Uncommon,0,0,
Breezy Falls,Mudkip,258,1,1,1,18,23,,0,Rare,0,0,
Breezy Falls,Wooper,194,1,1,1,18,23,,0,Common,0,0,
Breezy Garden,Azurill,298,1,1,1,17,21,,0,Rare,0,0,
Breezy Garden,Feebas,349,1,1,1,17,21,Prism Scale,0,Rare,0,0,
Breezy Garden,Goldeen,118,1,1,1,17,21,,0,Common,0,0,
Breezy Garden,Luvdisc,370,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Garden,Marill,183,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Garden,Poliwag,60,1,1,1,17,21,,0,Common,0,0,
Breezy Garden,Remoraid,223,1,1,1,17,21,Starf Berry,0,Uncommon,0,0,
Breezy Garden,Wooper,194,1,1,1,17,21,,0,Common,0,0,
Breezy Garden Underwater,Clamperl,366,1,1,1,21,25,Deep Sea Tooth,0,Uncommon,0,0,
Breezy Garden Underwater,Corsola,222,1,1,1,21,25,,0,Uncommon,0,0,
Breezy Garden Underwater,Gorebyss,368,1,1,1,21,25,Deep Sea Scale,0,Rare,0,0,
Breezy Garden Underwater,Huntail,367,1,1,1,21,25,Deep Sea Tooth,0,Rare,0,0,
Breezy Garden Underwater,Lanturn,171,1,1,1,21,25,,0,Common,0,0,
Breezy Garden Underwater,Relicanth,369,1,1,1,21,25,,0,Rare,0,0,
Breezy Garden Underwater,Shellder,90,1,1,1,21,25,,0,Rare,0,0,
Breezy Garden Underwater,Wooper,194,1,1,1,21,25,,0,Common,0,0,
Breezy Path,Magikarp,129,1,1,1,17,21,Spring Brush Blue,0,Common,0,0,
Breezy Path,Mantyke,458,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Path,Marill,183,1,1,1,17,21,,0,Uncommon,0,0,
Breezy Path,Mudkip,258,1,1,1,17,21,,0,Rare,0,0,
Breezy Path,Shellos,422,1,1,1,17,21,Rowap Berry,0,Rare,0,0,
Breezy Path,Slowking,199,1,1,1,17,21,King's Rock,0,Uncommon,0,0,
Breezy Path,Slowpoke,79,1,1,1,17,21,Lagging Tail,0,Common,0,0,
Breezy Path,Wooper,194,1,1,1,17,21,,0,Common,0,0,
Buring Strait Underwater,Cubchoo,613,1,1,1,22,27,,0,Rare,0,0,
Buring Strait Underwater,Magikarp,129,1,1,1,22,27,,0,Common,0,0,
Buring Strait Underwater,Marill,183,1,1,1,22,27,,0,Uncommon,0,0,
Buring Strait Underwater,Oshawott,501,1,1,1,22,27,,0,Rare,0,0,
Buring Strait Underwater,Psyduck,54,1,1,1,22,27,,0,Common,0,0,
Buring Strait Underwater,Tentacool,72,1,1,1,22,27,,0,Common,0,0,
Buring Strait Underwater,Tentacruel,73,1,1,1,22,27,,0,Common,0,0,
Buring Strait Underwater,Wailord,321,1,1,1,22,27,,0,Uncommon,0,0,
Burring Strait Under water,Cubchoo,613,1,1,1,22,27,,0,Rare,0,0,
Burring Strait Under water,Magikarp,129,1,1,1,22,27,,0,Common,0,0,
Burring Strait Under water,Marill,183,1,1,1,22,27,,0,Uncommon,0,0,
Burring Strait Under water,Oshawott,501,1,1,1,22,27,,0,Rare,0,0,
Burring Strait Under water,Psyduck,54,1,1,1,22,27,,0,Common,0,0,
Burring Strait Under water,Tentacool,72,1,1,1,22,27,,0,Common,0,0,
Burring Strait Under water,Tentacruel,73,1,1,1,22,27,,0,Common,0,0,
Burring Strait Under water,Wailord,321,1,1,1,22,27,,0,Uncommon,0,0,
Cape Brink,Goldeen,118,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Golduck,55,1,1,1,30,37,,0,Common,1,0,Good Rod
Cape Brink,Gyarados,130,1,1,1,30,37,,0,Uncommon,1,1,Super Rod
Cape Brink,Magikarp,129,1,1,1,30,37,,0,Common,1,1,Old Rod
Cape Brink,Psyduck,54,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Shellder,90,1,0,0,30,37,,0,Uncommon,1,1,Super Rod
Cape Brink,Slowbro,80,1,1,1,30,37,,0,Uncommon,1,0,Good Rod
Cape Brink,Slowpoke,79,1,1,1,30,37,,0,Common,1,0,Old Rod
Cape Brink,Staryu,120,0,0,1,10,17,,0,Uncommon,1,1,Super Rod
Cape Of Palpatoo,Alomomola,594,1,1,1,24,28,,0,Rare,0,0,
Cape Of Palpatoo,Carvanha,318,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Corsola,222,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Magikarp,129,1,1,1,35,39,,0,Common,0,0,
Cape Of Palpatoo,Mantine,226,1,1,1,35,39,,0,Uncommon,0,0,
Cape Of Palpatoo,Seadra,117,1,1,1,35,39,Dragon Scale,0,Common,0,0,
Cape Of Palpatoo,Slowpoke,79,1,1,1,35,39,Lagging Tail,0,Common,0,0,
Cape Of Palpatoo,Swablu,333,1,1,1,31,35,,0,Rare,0,0,
Cape Of Palpatoo,Wingull,278,1,1,1,35,39,,0,Common,0,0,
Cave Of Justice,Barboach,339,1,1,1,26,30,,0,Uncommon,0,0,
Cave Of Justice,Golbat,42,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Goldeen,118,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Magikarp,129,1,1,1,26,30,,0,Common,0,0,
Cave Of Justice,Marill,183,1,1,1,26,30,,0,Uncommon,0,0,
Cave Of Justice,Noibat,714,1,0,1,26,30,,1,Rare,0,0,
Cave Of Justice,Zubat,41,1,1,1,26,30,,0,Common,0,0,
Celadon City,Grimer,88,1,1,1,15,33,Black Sludge,0,Common,0,0,
Celadon City,Koffing,109,1,1,1,15,22,Smoke Ball,0,Common,0,0,
Celadon City,Muk,89,1,1,1,15,33,Black Sludge,0,Common,0,0,
Cemetery Island,Gastly,92,1,1,1,15,19,,0,Common,0,0,
Cemetery Island,Gyarados,130,1,1,1,25,30,,0,Common,0,0,
Cemetery Island,Marill,183,1,1,1,25,30,,0,Uncommon,0,0,
Cemetery Island,Slowbro,80,1,1,1,25,30,King's Rock,0,Common,0,0,
Cemetery Island,Slowpoke,79,1,1,1,25,30,Lagging Tail,0,Common,0,0,
Cemetery Island,Solosis,577,1,1,1,15,19,Persim Berry,0,Rare,0,0,
Cemetery Island,Spheal,363,1,1,1,25,30,,0,Uncommon,0,0,
Cemetery Island,Squirtle,7,1,1,1,15,19,,0,Rare,0,0,
Cerulean Cave 1F,Cloyster,91,1,1,1,60,64,Never-Melt Ice,0,Uncommon,0,0,
Cerulean Cave 1F,Dewgong,87,1,1,1,60,64,Aspear Berry,0,Common,0,0,
Cerulean Cave 1F,Kingler,99,1,1,1,60,64,,0,Common,0,0,
Cerulean Cave 1F,Lapras,131,1,1,1,55,59,,0,Rare,0,0,
Cerulean Cave 1F,Poliwrath,62,1,1,1,60,64,King's Rock,0,Common,0,0,
Cerulean Cave 1F,Seaking,119,1,1,1,60,64,,0,Common,0,0,
Cerulean Cave 1F,Slowbro,80,1,1,1,60,64,,0,Common,0,0,
Cerulean Cave 1F,Starmie,121,1,1,1,60,64,Star Piece,0,Rare,0,0,
Cerulean Cave B1F,Cloyster,91,1,1,1,64,68,Never-Melt Ice,0,Uncommon,0,0,
Cerulean Cave B1F,Dragonair,148,1,1,1,64,66,Dragon Fang,0,Rare,0,0,
Cerulean Cave B1F,Golbat,42,1,1,1,64,68,,0,Common,0,0,
Cerulean Cave B1F,Golduck,55,1,1,1,64,68,,0,Common,0,0,
Cerulean Cave B1F,Gyarados,130,1,1,1,64,68,,0,Common,0,0,
Cerulean Cave B1F,Seadra,117,1,1,1,64,68,Dragon Scale,0,Common,0,0,
Cerulean Cave B1F,Slowbro,80,1,1,1,64,68,,0,Common,0,0,
Cerulean City,Goldeen,118,1,1,1,11,15,,0,Common,1,0,Old Rod
Cerulean City,Krabby,98,1,1,1,11,15,,0,Common,1,0,Old Rod
Cerulean City,Magikarp,129,1,1,1,11,15,,0,Common,1,0,Old Rod
Cherrygrove City,Corsola,222,1,1,1,10,14,,0,Uncommon,1,0,Good Rod
Cherrygrove City,Kingler,99,1,1,0,10,14,,0,Common,1,0,Old Rod
Cherrygrove City,Krabby,98,1,1,1,10,14,,0,Common,1,0,Old Rod
Cherrygrove City,Staryu,120,1,0,1,10,14,,0,Rare,1,0,Super Rod
Cherrygrove City,Tentacool,72,1,1,1,10,14,,0,Common,1,0,Old Rod
Cherrygrove City,Tentacruel,73,0,0,1,10,14,,0,Common,1,0,Old Rod
Cherrygrove City,Wailmer,320,1,0,1,10,14,,1,Uncommon,1,0,Good Rod
Chrono Cross,Gyarados,130,1,1,1,15,25,,0,Uncommon,1,0,Super Rod
Chrono Cross,Hoppip,187,1,1,0,5,25,,0,Common,1,0,Good Rod
Chrono Cross,Horsea,116,1,1,1,5,25,Dragon Scale,0,Common,1,0,Good Rod
Chrono Cross,Krabby,98,1,1,1,5,25,,0,Common,1,0,Old Rod
Chrono Cross,Magikarp,129,1,1,1,5,25,,0,Common,1,1,Old Rod
Chrono Cross,Mantyke,458,1,0,0,5,25,,0,Uncommon,1,1,Super Rod
Chrono Cross,Seadra,117,1,1,1,15,25,,0,Uncommon,1,0,Super Rod
Chrono Cross,Shellder,90,1,1,0,5,25,,0,Uncommon,1,1,Super Rod
Chrono Cross,Slowpoke,79,1,1,1,5,25,,0,Common,1,0,Old Rod
Cianwood City,Corsola,222,1,1,1,30,35,Hard Stone,0,Uncommon,1,0,Good Rod
Cianwood City,Frillish,592,1,1,1,30,35,Water Stone,1,Rare,1,0,Super Rod
Cianwood City,Krabby,98,1,1,1,30,35,,0,Common,1,0,Old Rod
Cianwood City,Mantyke,458,1,1,1,22,26,,1,Uncommon,1,0,Good Rod
Cianwood City,Octillery,224,1,1,1,30,35,Starf Berry,0,Uncommon,1,0,Good Rod
Cianwood City,Remoraid,223,1,1,1,30,35,Starf Berry,0,Uncommon,1,0,Good Rod
Cianwood City,Tentacool,72,1,1,1,30,35,Poison Barb,0,Common,1,0,Old Rod
Cianwood City,Tentacruel,73,1,1,1,30,35,Poison Barb,0,Common,1,0,Old Rod
Cinnabar Island,Carvanha,318,1,1,1,37,39,Deep Sea Tooth,1,Uncommon,1,0,Good Rod
Cinnabar Island,Corphish,341,1,1,1,37,39,Mystic Water,1,Rare,1,0,Super Rod
Cinnabar Island,Corsola,222,1,1,1,37,39,,0,Uncommon,1,0,Good Rod
Cinnabar Island,Goldeen,118,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Krabby,98,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Magikarp,129,1,1,1,37,39,,0,Common,1,0,Old Rod
Cinnabar Island,Staryu,120,1,1,1,37,39,,0,Rare,1,0,Super Rod
Cinnabar Island,Tentacool,72,1,1,1,37,39,,0,Common,1,0,Old Rod
Cliff Edge Gate,Magikarp,129,1,1,1,28,32,,0,Common,1,0,Old Rod
Cliff Edge Gate,Poliwag,60,1,1,1,28,32,,0,Common,1,0,Old Rod
Cliff Edge Gate,Quagsire,195,1,1,1,28,32,,0,Common,1,0,Old Rod
Cliff Edge Gate,Shellder,90,1,1,1,28,32,,0,Uncommon,1,0,Good Rod
Cliff Edge Gate,Wooper,194,1,1,1,28,32,,0,Common,1,0,Old Rod
Corsica Island,Barboach,339,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Basculin,550,1,1,1,9,13,,0,Rare,0,0,
Corsica Island,Carvanha,318,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Chinchou,170,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Feebas,349,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Finneon,456,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Goldeen,118,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Horsea,116,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Luvdisc,370,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Magikarp,129,1,1,1,15,19,,0,Common,0,0,
Corsica Island,Qwilfish,211,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Relicanth,369,1,1,1,15,19,,0,Rare,0,0,
Corsica Island,Remoraid,223,1,1,1,15,19,,0,Uncommon,0,0,
Corsica Island,Wishiwashi,746,1,1,1,15,19,,0,Rare,0,0,
Crater Town,Alomomola,594,1,1,1,26,30,,0,Rare,0,0,
Crater Town,Corphish,341,1,1,1,26,30,,0,Rare,0,0,
Crater Town,Goldeen,118,1,1,1,26,30,,0,Common,0,0,
Crater Town,Horsea,116,1,1,1,26,30,,0,Common,0,0,
Crater Town,Kingler,99,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Shellder,90,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Slowking,199,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Binacle,688,1,1,1,26,30,,0,Rare,0,0,
Crater Town Shore,Buizel,418,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Ducklett,580,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Feebas,349,1,1,1,26,30,,0,Rare,0,0,
Crater Town Shore,Gyarados,130,1,1,1,26,30,,0,Uncommon,0,0,
Crater Town Shore,Seadra,117,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Seaking,119,1,1,1,26,30,,0,Common,0,0,
Crater Town Shore,Wingull,278,1,1,1,26,30,,0,Common,0,0,
Crumpit Valley,Azurill,298,1,1,1,25,31,,0,Rare,0,0,
Crumpit Valley,Clamperl,366,1,1,1,25,31,Pearl,0,Uncommon,0,0,
Crumpit Valley,Psyduck,54,1,1,1,25,31,,0,Common,0,0,
Crumpit Valley,Slowking,199,1,1,1,25,31,King's Rock,0,Uncommon,0,0,
Crumpit Valley,Slowpoke,79,1,1,1,25,31,Lagging Tail,0,Common,0,0,
Crumpit Valley,Spheal,363,1,1,1,25,31,,0,Uncommon,0,0,
Crumpit Valley,Swablu,333,1,1,1,20,22,,0,Rare,0,0,
Crumpit Valley,Tentacool,72,1,1,1,25,31,Poison Barb,0,Common,0,0,
Cryofrost Path,Golduck,55,1,1,1,25,31,,0,Common,0,0,
Cryofrost Path,Qwilfish,211,1,1,1,25,31,,0,Uncommon,0,0,
Cryofrost Path,Seel,86,1,1,1,25,31,Aspear Berry,0,Common,0,0,
Cryofrost Path,Squirtle,7,1,1,1,25,31,,0,Rare,0,0,
Cryofrost Path,Staryu,120,1,1,1,25,31,Water Stone,0,Rare,0,0,
Cryofrost Path,Tentacool,72,1,1,1,25,31,Poison Barb,0,Common,0,0,
Cryofrost Path,Wailmer,320,1,1,1,25,31,,0,Uncommon,0,0,
Cryofrost Path,Wailord,321,1,1,1,25,31,,0,Uncommon,0,0,
Crystal Cavern,Cryogonal,615,1,1,1,19,23,,0,Rare,0,0,
Crystal Cavern,Dewgong,87,1,1,1,19,23,,0,Common,0,0,
Crystal Cavern,Ducklett,580,1,1,1,19,23,,0,Uncommon,0,0,
Crystal Cavern,Psyduck,54,1,1,1,19,23,,0,Common,0,0,
Crystal Cavern,Seel,86,1,1,1,19,23,,0,Common,0,0,
Crystal Cavern,Shellder,90,1,1,1,19,23,,0,Uncommon,0,0,
Crystal Cavern,Wailmer,320,1,1,1,19,23,,0,Uncommon,0,0,
Dark Cave East,Goldeen,118,1,1,1,15,20,Mystic Water,0,Common,1,0,Old Rod
Dark Cave East,Magikarp,129,1,1,1,15,20,,0,Common,1,1,Old Rod
Dark Cave North,Goldeen,118,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave North,Magikarp,129,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave North,Seaking,119,1,1,1,44,47,,0,Common,1,0,Old Rod
Dark Cave South,Goldeen,118,1,1,1,5,7,,0,Common,1,0,Old Rod
Dark Cave South,Magikarp,129,1,1,1,5,7,,0,Common,1,0,Old Rod
Dark Cave South,Seaking,119,1,1,1,5,7,,0,Common,1,0,Old Rod
Dark Cave West,Goldeen,118,1,1,1,15,20,,0,Common,1,0,Old Rod
Dark Cave West,Magikarp,129,1,1,1,15,20,,0,Common,1,1,Old Rod
Dark Cave West,Wooper,194,1,1,1,15,20,,0,Common,1,0,Good Rod
Desert Lagoon,Azurill,298,1,1,1,35,40,,1,Rare,1,0,Super Rod
Desert Lagoon,Barboach,339,1,1,1,35,40,,1,Uncommon,1,0,Good Rod
Desert Lagoon,Lombre,271,1,1,1,35,40,Mental Herb,1,Common,1,0,Old Rod
Desert Lagoon,Panpour,515,1,1,1,35,40,Rindo Berry,1,Uncommon,1,0,Good Rod
Desert Lagoon,Quagsire,195,1,1,1,35,40,,1,Common,1,0,Old Rod
Desert Lagoon,Surskit,283,1,1,1,35,40,,1,Common,1,0,Old Rod
Desert Lagoon,Totodile,158,1,1,1,35,36,,1,Rare,1,0,Super Rod
Desert Lagoon,Wooper,194,1,1,1,35,40,,1,Common,1,0,Old Rod
Dewford Town,Krabby,98,1,1,1,20,35,,0,Common,1,0,Old Rod
