Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier
Bell Tower,Haunter,93,1,1,1,14,17,Spell Tag,0,Uncommon
Bell Tower,Hoothoot,163,0,0,1,14,17,,0,Common
Bell Tower,Noctowl,164,0,0,1,14,17,,0,Common
Bell Tower,Shuppet,353,1,1,1,14,17,Spell Tag,0,Uncommon
Bell Tower,Spinarak,167,1,0,1,14,17,,0,Common
Berry Forest,Bellsprout,69,1,1,0,45,50,Awakening,0,Common
Berry Forest,Drowzee,96,1,0,1,45,50,Sun Stone,0,Common
Berry Forest,Exeggcute,102,1,1,1,45,50,Sun Stone,0,Uncommon
Berry Forest,Gloom,44,0,0,1,45,50,Sun Stone,0,Common
Berry Forest,Hypno,97,0,0,1,45,50,Sun Stone,0,Uncommon
Berry Forest,Oddish,43,0,0,1,45,50,Sun Stone,0,Common
Berry Forest,Petilil,548,1,1,0,51,56,,1,Rare
Berry Forest,Slowpoke,79,1,1,1,45,50,Lagging Tail,0,Common
Berry Forest,Weepinbell,70,1,1,1,45,50,Sun Stone,0,Common
Bittersweet Cave 1F,Drilbur,529,1,1,1,25,28,,0,Rare
Bittersweet Cave 1F,Kadabra,64,1,1,1,25,28,Twisted Spoon,0,Uncommon
Bittersweet Cave 1F,Magnemite,81,1,1,1,25,28,Metal Coat,0,Common
Bittersweet Cave 1F,Mankey,56,1,1,1,25,28,,0,Common
Bittersweet Cave 1F,Marill,183,1,1,1,25,28,,0,Uncommon
Bittersweet Cave 1F,Paras,46,1,1,1,25,28,,0,Common
Bittersweet Cave 1F,Ralts,280,1,1,1,25,28,Dawn Stone,0,Rare
Bittersweet Cave 1F,Torkoal,324,1,1,1,25,28,Heat Rock,0,Uncommon
Bittersweet Cave 1F,Wooper-Paldea,3249,1,1,1,25,28,,0,Uncommon
Bittersweet Cave 2F,Diglett,50,1,1,1,24,30,Soft Sand,0,Common
Bittersweet Cave 2F,Emolga,587,1,1,1,24,30,Cheri Berry,0,Rare
Bittersweet Cave 2F,Nincada,290,1,1,1,24,30,Soft Sand,0,Rare
Bittersweet Cave 2F,Numel,322,1,1,1,24,30,Rawst Berry,0,Uncommon
Bittersweet Cave 2F,Nuzleaf,274,1,1,1,24,30,Power Herb,0,Common
Bittersweet Cave 2F,Slugma,218,1,1,1,24,30,,0,Common
Bittersweet Cave 2F,Smeargle,235,1,1,1,24,30,,0,Rare
Bittersweet Cave 2F,Tauros,128,1,1,1,24,30,,0,Uncommon
Bittersweet Cave 2F,Torkoal,324,1,1,1,24,30,Heat Rock,0,Uncommon
Bittersweet Cave 3F,Abra,63,1,1,1,25,30,Twisted Spoon,0,Uncommon
Bittersweet Cave 3F,Cyndaquil,155,1,1,1,15,19,,0,Rare
Bittersweet Cave 3F,Gengar,94,1,1,1,15,19,Spell Tag,0,Common
Bittersweet Cave 3F,Growlithe,58,1,1,1,25,30,Rawst Berry,0,Common
Bittersweet Cave 3F,Magnemite,81,1,1,1,25,30,Metal Coat,0,Common
Bittersweet Cave 3F,Piloswine,221,1,1,1,25,30,Never-Melt Ice,0,Common
Bittersweet Cave 3F,Smeargle,235,1,1,1,15,19,,0,Rare
Bittersweet Cave 3F,Tauros,128,1,1,1,25,30,,0,Uncommon
Bittersweet Cave 3F,Zangoose,335,1,1,1,15,19,Quick Claw,0,Rare
Bittersweet Cave 4F,Growlithe,58,1,1,1,30,34,Rawst Berry,0,Common
Bittersweet Cave 4F,Magnemite,81,1,1,1,30,34,Metal Coat,0,Common
Bittersweet Cave 4F,Marill,183,1,1,1,30,32,,0,Uncommon
Bittersweet Cave 4F,Numel,322,1,1,1,30,30,Rawst Berry,0,Uncommon
Bittersweet Cave 4F,Parasect,47,1,1,1,30,34,,0,Common
Bittersweet Cave 4F,Petilil,548,1,1,1,30,30,,0,Rare
Bittersweet Cave 4F,Sneasel,215,1,1,1,30,30,Razor Claw,0,Uncommon
Bittersweet Cave 4F,Treecko,252,1,1,1,30,30,,0,Rare
Bond Bridge,Bellsprout,69,1,0,0,29,37,,0,Common
Bond Bridge,Glameow,431,0,0,1,29,37,Cheri Berry,1,Uncommon
Bond Bridge,Gloom,44,0,0,1,29,37,,0,Common
Bond Bridge,Meowth,52,1,0,1,29,37,,0,Common
Bond Bridge,Oddish,43,0,0,1,29,37,,0,Common
Bond Bridge,Pidgeotto,17,1,0,0,29,37,,0,Common
Bond Bridge,Pidgey,16,0,1,0,29,37,,0,Common
Bond Bridge,Psyduck,54,1,0,0,29,37,,0,Common
Bond Bridge,Venonat,48,1,0,1,29,37,,0,Common
Bond Bridge,Weepinbell,70,1,0,0,29,37,,0,Common
Bone Pass,Croagunk,453,1,1,1,15,19,Black Sludge,0,Rare
Bone Pass,Haunter,93,1,1,1,15,19,Spell Tag,0,Common
Bone Pass,Mightyena,262,1,1,1,25,30,Pecha Berry,0,Common
Bone Pass,Nosepass,299,1,1,1,25,30,Magnet,0,Uncommon
Bone Pass,Poochyena,261,1,1,1,25,30,Pecha Berry,0,Common
Bone Pass,Scraggy,559,1,1,1,15,19,,0,Rare
Bone Pass,Vigoroth,288,1,1,1,25,30,,0,Uncommon
Bone Pass,Weezing,110,1,1,1,25,27,Smoke Ball,0,Common
Breakers Beach,Buizel,418,1,1,1,25,29,Wacan Berry,0,Uncommon
Breakers Beach,Krabby,98,1,1,1,25,29,,0,Common
Breakers Beach,Lotad,270,1,1,1,25,29,Mental Herb,0,Common
Breakers Beach,Pinsir,127,1,1,1,30,31,,0,Rare
Breakers Beach,Shellder,90,1,1,1,25,29,,0,Uncommon
Breakers Beach,Shuckle,213,1,1,1,25,29,Oran Berry,0,Rare
Breakers Beach,Slowpoke,79,1,1,1,25,29,Lagging Tail,0,Common
Breakers Beach,Wingull,278,1,1,1,25,29,,0,Common
Breezy Cave,Cubone,104,1,1,1,17,21,Thick Club,0,Uncommon
Breezy Cave,Geodude,74,1,1,1,17,21,Spring Brush Yellow,0,Common
Breezy Cave,Kangaskhan,115,1,1,1,17,21,,0,Rare
Breezy Cave,Mankey,56,1,1,1,17,21,,0,Common
Breezy Cave,Quagsire,195,1,1,1,17,21,,0,Common
Breezy Cave,Seviper,336,1,1,1,17,21,,0,Uncommon
Breezy Cave,Spinda,327,1,1,1,17,21,Chesto Berry,0,Uncommon
Breezy Cave,Zangoose,335,1,1,1,17,21,Quick Claw,0,Rare
Breezy Cave Hidden Mines,Abra,63,1,1,1,24,28,Twisted Spoon,0,Uncommon
Breezy Cave Hidden Mines,Bronzor,436,1,1,1,24,28,Metal Coat,0,Common
Breezy Cave Hidden Mines,Clefairy,35,1,1,1,16,19,Moon Stone,0,Common
Breezy Cave Hidden Mines,Gastly,92,1,1,1,16,19,,0,Common
Breezy Cave Hidden Mines,Marill,183,1,1,1,24,28,,0,Uncommon
Breezy Cave Hidden Mines,Pikachu,25,1,1,1,24,28,Light Ball,0,Uncommon
Breezy Cave Hidden Mines,Rotom,479,1,1,1,16,19,Lum Berry,1,Rare
Breezy Cave Hidden Mines,Sableye,302,1,1,1,16,19,Enigma Berry,0,Rare
Breezy Falls,Abra,63,1,1,1,18,23,Twisted Spoon,0,Uncommon
Breezy Falls,Clefairy,35,0,1,0,18,19,Moon Stone,0,Common
Breezy Falls,Gastly,92,0,0,1,18,19,,0,Common
Breezy Falls,Lickitung,108,1,1,1,18,23,Lagging Tail,0,Uncommon
Breezy Falls,Magnemite,81,1,0,0,18,23,Metal Coat,0,Common
Breezy Falls,Mankey,56,1,1,1,18,23,,0,Common
Breezy Falls,Munchlax,446,1,1,1,18,19,Leftovers,0,Rare
Breezy Falls,Pancham,674,1,1,1,18,19,,0,Rare
Breezy Falls,Ponyta,77,1,1,1,18,23,,0,Uncommon
Breezy Falls,Snubbull,209,1,1,1,18,23,,0,Common
Breezy Garden,Ledyba,165,1,1,1,17,21,Aguav Berry,0,Common
Breezy Garden,Minccino,572,1,1,1,17,21,Shiny Stone,0,Rare
Breezy Garden,Pidgeotto,17,1,1,1,17,21,,0,Common
Breezy Garden,Roselia,315,1,1,1,17,21,Poison Barb,0,Uncommon
Breezy Garden,Seedot,273,1,1,1,17,21,Power Herb,0,Common
Breezy Garden,Seviper,336,1,1,1,17,21,,0,Uncommon
Breezy Garden,Spinda,327,1,1,1,17,21,Chesto Berry,0,Uncommon
Breezy Garden,Torchic,255,1,1,1,17,19,,0,Rare
Breezy Path,Abra,63,1,1,1,17,21,Twisted Spoon,0,Uncommon
Breezy Path,Bellsprout,69,1,1,1,17,21,Spring Brush Green,0,Common
Breezy Path,Bunnelby,659,1,1,1,17,21,Sitrus Berry,0,Rare
Breezy Path,Lotad,270,1,1,1,17,21,Mental Herb,0,Common
Breezy Path,Marill,183,1,1,1,17,21,,0,Uncommon
Breezy Path,Mudkip,258,1,1,1,21,21,,0,Rare
Breezy Path,Seedot,273,1,1,1,17,21,Power Herb,0,Common
Breezy Path,Spinda,327,1,1,1,17,21,Chesto Berry,0,Uncommon
Breezy Town,Emolga,587,1,1,1,17,21,Cheri Berry,0,Rare
Breezy Town,Miltank,241,1,1,1,17,21,Moomoo Milk,0,Uncommon
Breezy Town,Pidgeotto,17,1,1,1,17,21,,0,Common
Breezy Town,Pidgey,16,1,1,1,17,21,,0,Common
Breezy Town,Pikachu,25,1,1,1,17,21,Light Ball,0,Uncommon
Breezy Town,Seviper,336,1,1,1,17,21,,0,Uncommon
Breezy Town,Togepi,175,1,1,1,17,21,Shiny Stone,0,Rare
Breezy Town,Zigzagoon,263,1,1,1,17,21,Spring Brush Red,0,Common
Bug Catching Area,Burmy,412,1,1,1,15,19,,0,Uncommon
Bug Catching Area,Caterpie,10,1,0,0,15,19,Pomeg Berry,0,Common
Bug Catching Area,Combee,415,1,0,0,15,19,Honey,0,Uncommon
Bug Catching Area,Cutiefly,742,1,1,1,15,19,,0,Rare
Bug Catching Area,Dwebble,557,0,1,0,15,19,Hard Stone,0,Rare
Bug Catching Area,Heracross,214,0,1,0,15,19,,0,Rare
Bug Catching Area,Illumise,314,0,0,1,15,19,,0,Uncommon
Bug Catching Area,Joltik,595,1,0,0,15,19,,0,Rare
Bug Catching Area,Kricketot,401,0,0,1,15,19,,0,Uncommon
Bug Catching Area,Larvesta,636,1,1,1,15,19,Charti Berry,0,Rare
Bug Catching Area,Ledyba,165,0,1,0,15,19,,0,Common
Bug Catching Area,Nincada,290,0,0,1,15,19,Soft Sand,0,Rare
Bug Catching Area,Paras,46,1,1,1,15,19,,0,Common
Bug Catching Area,Pinsir,127,0,0,1,15,19,,0,Rare
Bug Catching Area,Scatterbug,664,1,0,0,15,19,,0,Uncommon
Bug Catching Area,Scyther,123,1,0,0,15,19,Metal Coat,0,Rare
Bug Catching Area,Spinarak,167,0,0,1,15,19,,0,Common
Bug Catching Area,Venonat,48,1,0,0,15,19,,0,Common
Bug Catching Area,Volbeat,313,0,1,0,15,19,,0,Uncommon
Bug Catching Area,Weedle,13,0,1,0,15,19,Kelpsy Berry,0,Common
Bug Catching Area,Wurmple,265,0,0,1,15,19,Hondew Berry,0,Common
Bug Catching Area,Yanma,193,0,1,0,15,19,Wide Lens,0,Uncommon
Bug Catching Multiplayer Area,Burmy,412,1,1,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Caterpie,10,1,0,0,15,19,Pomeg Berry,0,Common
Bug Catching Multiplayer Area,Combee,415,1,0,0,15,19,Honey,0,Uncommon
Bug Catching Multiplayer Area,Cutiefly,742,1,1,1,15,19,,0,Rare
Bug Catching Multiplayer Area,Dwebble,557,0,1,0,15,19,Hard Stone,0,Rare
Bug Catching Multiplayer Area,Heracross,214,0,1,0,15,19,,0,Rare
Bug Catching Multiplayer Area,Illumise,314,0,0,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Joltik,595,1,0,0,15,19,,0,Rare
Bug Catching Multiplayer Area,Kricketot,401,0,0,1,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Larvesta,636,1,1,1,15,19,Charti Berry,0,Rare
Bug Catching Multiplayer Area,Ledyba,165,0,1,0,15,19,,0,Common
Bug Catching Multiplayer Area,Nincada,290,0,0,1,15,19,Soft Sand,0,Rare
Bug Catching Multiplayer Area,Paras,46,1,1,1,15,19,,0,Common
Bug Catching Multiplayer Area,Pinsir,127,0,0,1,15,19,,0,Rare
Bug Catching Multiplayer Area,Scatterbug,664,1,0,0,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Scyther,123,1,0,0,15,19,Metal Coat,0,Rare
Bug Catching Multiplayer Area,Spinarak,167,0,0,1,15,19,,0,Common
Bug Catching Multiplayer Area,Venonat,48,1,0,0,15,19,,0,Common
Bug Catching Multiplayer Area,Volbeat,313,0,1,0,15,19,,0,Uncommon
Bug Catching Multiplayer Area,Weedle,13,0,1,0,15,19,Kelpsy Berry,0,Common
Bug Catching Multiplayer Area,Wurmple,265,0,0,1,15,19,Hondew Berry,0,Common
Bug Catching Multiplayer Area,Yanma,193,0,1,0,15,19,Wide Lens,0,Uncommon
Burned Tower Floor 2,Koffing,109,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Floor 2,Litwick,607,1,1,1,16,20,Smoke Ball,1,Rare
Burned Tower Floor 2,Pansear,513,1,1,1,16,20,Passho Berry,0,Uncommon
Burned Tower Floor 2,Rattata,19,1,1,1,16,20,,0,Common
Burned Tower Floor 2,Slugma,218,1,1,1,16,20,Oran Berry,0,Common
Burned Tower Floor 2,Spinda,327,1,1,1,16,20,Chesto Berry,0,Uncommon
Burned Tower Floor 2,Weezing,110,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Top Floor,Koffing,109,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Top Floor,Magby,240,1,1,1,16,20,Magmarizer,0,Rare
Burned Tower Top Floor,Magmar,126,1,1,1,16,20,Magmarizer,0,Rare
Burned Tower Top Floor,Raticate,20,1,1,1,16,20,Sitrus Berry,0,Common
Burned Tower Top Floor,Rattata,19,1,1,0,16,20,,0,Common
Burned Tower Top Floor,Slugma,218,1,1,1,16,20,,0,Common
Burned Tower Top Floor,Weezing,110,1,1,1,16,20,Smoke Ball,0,Common
Burned Tower Top Floor,Zubat,41,0,0,1,16,20,,0,Common
Burring Strait,Avalugg,713,1,1,1,22,27,,1,Rare
Burring Strait,Bergmite,712,1,1,1,22,27,,0,Rare
Burring Strait,Delibird,225,1,1,1,22,27,,0,Common
Burring Strait,Dewgong,87,1,1,1,22,27,,0,Common
Burring Strait,Piloswine,221,1,1,1,22,27,,0,Common
Burring Strait,Snorunt,361,1,1,1,22,27,,0,Uncommon
Burring Strait,Spheal,363,1,1,1,22,27,,0,Uncommon
Burring Strait,Swinub,220,1,1,1,22,27,,0,Common
Canyon Entrance,Fearow,22,0,1,0,12,42,Sharp Beak,0,Common
Canyon Entrance,Meowth,52,0,0,1,12,42,,0,Common
Canyon Entrance,Persian,53,0,0,1,20,35,,0,Common
Canyon Entrance,Phanpy,231,1,0,0,12,42,,0,Uncommon
Canyon Entrance,Psyduck,54,1,0,0,12,42,,0,Common
Canyon Entrance,Sentret,161,1,1,0,12,42,,0,Common
Canyon Entrance,Slowpoke,79,1,1,1,12,42,Lagging Tail,0,Common
Canyon Entrance,Spearow,21,1,0,1,12,42,Sharp Beak,0,Common
Cape Brink,Bellsprout,69,1,0,0,30,37,,0,Common
Cape Brink,Fearow,22,1,1,1,30,37,Sharp Beak,0,Common
Cape Brink,Gloom,44,0,0,1,30,37,Sun Stone,0,Common
Cape Brink,Meowth,52,1,0,1,30,37,Lagging Tail,0,Common
Cape Brink,Oddish,43,1,1,1,30,37,Absorb Bulb,0,Common
Cape Brink,Persian,53,1,0,1,30,37,Quick Claw,0,Common
Cape Brink,Spearow,21,1,0,0,30,37,Sharp Beak,0,Common
Cave Of Justice,Absol,359,1,1,1,26,30,,1,Rare
Cave Of Justice,Bronzor,436,1,1,1,26,30,,0,Uncommon
Cave Of Justice,Geodude,74,1,1,1,26,30,,0,Common
Cave Of Justice,Golbat,42,1,1,1,26,30,,0,Common
Cave Of Justice,Graveler,75,1,1,1,26,30,,0,Common
Cave Of Justice,Growlithe,58,1,1,1,26,30,,0,Uncommon
Cave Of Justice,Honedge,679,1,1,1,26,30,,1,Rare
Cave Of Justice,Zubat,41,1,1,1,26,30,,0,Common
Cemetery Island,Bulbasaur,1,1,1,1,15,19,,0,Rare
Cemetery Island,Gastly,92,1,1,1,15,19,,0,Common
Cemetery Island,Kadabra,64,1,1,1,24,30,Twisted Spoon,0,Uncommon
Cemetery Island,Machop,66,1,1,1,24,30,Payapa Berry,0,Common
Cemetery Island,Ponyta,77,1,1,1,24,30,,0,Uncommon
Cemetery Island,Riolu,447,1,1,1,15,19,Soothe Bell,0,Rare
Cemetery Island,Scraggy,559,1,1,1,15,19,,0,Rare
Cemetery Island,Seedot,273,1,1,1,24,30,Power Herb,0,Common
Cemetery Island,Torkoal,324,1,1,1,24,30,Heat Rock,0,Uncommon
Cerulean Cave 1F,Arbok,24,1,1,1,60,64,Poison Barb,0,Common
Cerulean Cave 1F,Golbat,42,1,1,1,60,64,,0,Common
Cerulean Cave 1F,Kangaskhan,115,1,1,1,45,47,,0,Rare
Cerulean Cave 1F,Machamp,68,1,1,1,60,64,Payapa Berry,0,Common
Cerulean Cave 1F,Magneton,82,1,1,1,60,64,Metal Coat,0,Common
Cerulean Cave 1F,Nidoqueen,31,1,1,1,60,64,Poison Barb,0,Common
Cerulean Cave 1F,Parasect,47,1,1,1,60,64,,0,Common
Cerulean Cave 1F,Rhyhorn,111,1,1,1,60,64,,0,Uncommon
Cerulean Cave 1F,Wobbuffet,202,1,1,1,60,64,,0,Rare
Cerulean Cave 2F,Chansey,113,1,1,1,15,19,Lucky Punch,0,Rare
Cerulean Cave 2F,Clefable,36,1,1,1,60,64,Moon Stone,0,Uncommon
Cerulean Cave 2F,Cubone,104,1,1,1,39,43,Thick Club,0,Uncommon
Cerulean Cave 2F,Ditto,132,1,1,1,60,64,Quick Powder,0,Rare
Cerulean Cave 2F,Golem,76,1,1,1,60,64,Hard Stone,0,Common
Cerulean Cave 2F,Persian,53,1,1,1,60,64,Quick Claw,0,Common
Cerulean Cave 2F,Raichu,26,1,1,1,60,64,Thunder Stone,0,Uncommon
Cerulean Cave 2F,Rhyhorn,111,1,1,1,60,64,,0,Uncommon
Cerulean Cave 2F,Wigglytuff,40,1,1,1,60,64,,0,Common
Cerulean Cave B1F,Alakazam,65,1,1,1,64,68,Twisted Spoon,0,Uncommon
Cerulean Cave B1F,Gengar,94,1,1,1,64,68,Spell Tag,0,Common
Cerulean Cave B1F,Hypno,97,1,1,1,64,68,,0,Common
Cerulean Cave B1F,Lickitung,108,1,1,1,64,68,Lagging Tail,0,Uncommon
Cerulean Cave B1F,Metagross,376,1,1,1,64,68,,1,Rare
Cerulean Cave B1F,Mr. Mime,122,1,1,1,64,68,Leppa Berry,0,Rare
Cerulean Cave B1F,Nidoking,34,1,1,1,64,68,,0,Common
